STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT04,WT06,WT08
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",42.93997,-78.73615,218.2,1/1/2021,7.61,,0.22,0,0,32,34,27,100,100,15,19,1,,,1,
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",42.93997,-78.73615,218.2,1/2/2021,6.49,,0.53,0,0,34,36,32,300,280,17,21.9,1,,,,
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",42.93997,-78.73615,218.2,1/3/2021,6.49,,0.02,0.2,0,34,37,32,270,260,15,19.9,1,,1,,
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",42.93997,-78.73615,218.2,1/4/2021,2.01,,0,0,0,35,36,33,300,360,8.1,10.1,1,,,,1
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",42.93997,-78.73615,218.2,1/5/2021,3.8,,0,0,0,35,37,33,40,30,10.1,14.1,1,,,,
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",42.93997,-78.73615,218.2,1/6/2021,7.16,,0,0,0,33,34,32,330,350,14.1,18.1,1,,,,
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",42.93997,-78.73615,218.2,1/7/2021,5.37,,0,0,0,31,33,27,350,350,13,15,,,,,
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",42.93997,-78.73615,218.2,1/8/2021,4.25,,0,0,0,27,28,21,50,50,14.1,15,,,,,
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",42.93997,-78.73615,218.2,1/9/2021,3.8,,0,0,0,26,39,19,300,310,12.1,13,,,,,
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",42.93997,-78.73615,218.2,1/10/2021,6.26,,0,0,0,30,33,25,260,270,17,25.1,,,,,
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",42.93997,-78.73615,218.2,1/11/2021,9.17,,0.01,0,0,32,39,27,250,240,21.9,30,1,,,,
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",42.93997,-78.73615,218.2,1/12/2021,10.96,,0.1,0.3,0,31,33,29,260,270,21.9,31.1,1,,,1,
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",42.93997,-78.73615,218.2,1/13/2021,13.42,,0,0,0,32,39,31,220,210,23,29.1,1,,,,
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",42.93997,-78.73615,218.2,1/14/2021,7.16,,0,0,0,38,41,36,240,250,15,21.9,1,,,,1
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",42.93997,-78.73615,218.2,1/15/2021,10.29,,0.09,0,0,39,44,34,170,170,19.9,25.1,1,,,,
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",42.93997,-78.73615,218.2,1/16/2021,9.4,,0.01,0,0,35,38,32,270,260,23.9,33.1,1,,,,
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",42.93997,-78.73615,218.2,1/17/2021,14.76,,0.02,0.2,0,35,41,32,250,260,23.9,34,1,,,,
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",42.93997,-78.73615,218.2,1/18/2021,7.38,,0.07,0.8,0,33,34,30,260,260,17,21.9,1,,,,
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",42.93997,-78.73615,218.2,1/19/2021,13.65,,0.3,2.8,2,31,34,29,260,240,28,36,1,,,,
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",42.93997,-78.73615,218.2,1/20/2021,11.18,,0.02,0.2,2,26,30,22,190,200,21,29.1,1,,,,
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",42.93997,-78.73615,218.2,1/21/2021,17.9,1507,0,0,2,30,37,23,250,250,29.1,38,,,,,
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",42.93997,-78.73615,218.2,1/22/2021,15.21,,0.01,0.1,1,33,35,22,270,290,23,29.1,1,,,,
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",42.93997,-78.73615,218.2,1/23/2021,13.2,,0.1,0.5,2,22,25,19,290,310,21,28,,,,,
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",42.93997,-78.73615,218.2,1/24/2021,4.47,,0,0,1,23,27,20,270,260,10.1,13,,,,,
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",42.93997,-78.73615,218.2,1/25/2021,4.03,,0,0,1,27,36,21,50,60,13,15,,,,,
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",42.93997,-78.73615,218.2,1/26/2021,12.3,,0.28,1.8,1,30,32,27,70,70,21,25.9,1,1,1,1,
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",42.93997,-78.73615,218.2,1/27/2021,8.5,,0,0.4,2,27,28,20,340,310,15,19,1,,,1,
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",42.93997,-78.73615,218.2,1/28/2021,11.63,1701,0.03,0.9,2,19,20,14,300,290,23,32,1,,,,1
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",42.93997,-78.73615,218.2,1/29/2021,,,,,,18,,,,,,,,,,,
